date,total_sleep_h,time_in_bed_h,efficiency,deep_min,rem_min,light_min,latency_min,avg_hrv,hrv_balance,resting_hr,avg_hr,resp_rate,temp_dev_f,spo2,sleep_score,readiness_score,bedtime,wake,stress_high_min,recovery_high_min,stress_summary,notes,w_pressure,w_pressure_delta,w_humidity,w_rain_in,w_sunshine_h,w_temp_f,c_mood,c_energy,c_comfort,c_hands,c_bodycalm,c_calm,c_clarity,c_indoor_humidity
2026-06-20,6.65,7.91,84,17.5,60.5,321.0,7.5,73,84,56,61.9,13.5,-0.95,95.1,75,76,22:38,06:33,90.0,30.0,normal,,1010.8,-2.0,88,0.18,11.7,76.8,3.0,4.0,4.0,4.0,7.0,3.0,5.0,90.0
2026-06-21,7.05,8.49,83,26.5,93.5,303.0,9.0,71,84,56,60.6,13.0,-0.79,94.4,83,86,22:21,06:51,180.0,15.0,normal,,1010.5,-0.3,91,0.58,9.3,76.6,4.0,4.0,3.0,4.0,4.0,3.0,4.0,93.0
2026-06-22,7.13,8.45,84,24.5,59.5,344.0,25.0,69,86,55,58.0,12.9,-1.13,95.3,80,87,22:22,06:50,90.0,195.0,normal,,1012.1,1.6,94,0.68,6.1,75.6,5.0,5.0,4.0,4.0,3.0,3.0,4.0,94.0
2026-06-23,0.84,1.1,77,2.5,4.5,43.5,18.0,50,77,56,56.4,,,,41,58,03:04,04:10,240.0,60.0,stressful,,1011.1,-1.0,89,0.09,8.6,76.7,3.0,3.0,4.0,3.0,3.0,3.0,3.0,94.0
2026-06-24,6.41,7.23,89,14.5,86.0,284.0,12.5,83,90,56,60.2,13.2,-0.68,95.3,83,80,22:47,06:00,165.0,90.0,normal,,1009.4,-1.7,89,0.25,12.1,76.9,4.0,4.0,3.0,3.0,5.0,3.0,4.0,
2026-06-25,6.56,7.71,85,18.5,59.0,316.0,22.5,62,85,57,62.4,14.2,-0.81,94.4,77,77,22:27,06:09,105.0,90.0,normal,,1009.4,0.0,92,0.28,10.9,77.0,4.0,4.0,4.0,3.0,5.0,6.0,5.0,94.0
2026-06-26,6.81,7.72,88,49.0,98.5,261.0,12.5,82,93,56,60.0,13.5,-0.41,94.0,89,88,22:34,06:17,165.0,510.0,restored,,1009.8,0.4,89,0.38,10.5,77.8,,,,,,,,
2026-06-27,,,,,,,,,,,,,,,,,,,75.0,45.0,normal,,1008.8,-1.0,93,0.38,11.8,77.2,5.0,5.0,5.0,3.0,3.0,5.0,6.0,73.0
2026-06-28,6.78,7.95,85,14.0,91.0,301.5,12.5,82,92,55,59.0,13.5,-0.11,94.8,78,84,22:16,06:13,300.0,105.0,stressful,,1008.0,-0.8,87,0.04,12.2,78.5,7.0,7.0,5.0,5.0,4.0,5.0,7.0,70.0
2026-06-29,6.93,7.65,91,23.0,109.5,283.5,6.0,93,94,57,60.4,14.1,-1.22,96.2,87,83,22:56,06:35,165.0,420.0,restored,,1008.9,0.9,90,0.15,12.3,78.4,6.0,6.0,5.0,6.0,3.0,6.0,7.0,70.0
2026-06-30,,,,,,,,,,,,,,,,,,,225.0,30.0,normal,,1008.2,-0.7,88,0.11,12.2,78.3,6.0,5.0,6.0,6.0,6.0,6.0,6.0,70.0
2026-07-01,5.21,6.53,80,18.5,66.0,228.0,7.0,62,92,62,64.8,14.0,0.95,94.0,74,64,00:51,07:23,210.0,15.0,stressful,,1008.1,-0.1,89,0.17,11.8,78.0,5.0,6.0,5.0,5.0,5.0,5.0,8.0,68.0
2026-07-02,4.07,4.64,88,16.0,62.5,165.5,18.0,99,100,55,58.0,14.0,-1.33,96.4,64,73,01:28,06:06,180.0,315.0,normal,,1009.3,1.2,96,1.45,4.2,75.6,5.0,6.0,5.0,5.0,6.0,6.0,6.0,
2026-07-03,,,,,,,,,,,,,,,,,,,210.0,165.0,normal,,1011.1,1.8,96,0.87,3.9,76.2,7.0,6.0,5.0,4.0,4.0,5.0,6.0,70.0
2026-07-04,6.08,7.4,82,23.0,35.0,307.0,6.5,85,97,55,58.2,14.0,-0.11,95.7,70,78,23:22,06:46,255.0,30.0,stressful,,1011.7,0.6,94,0.28,2.6,75.6,5.0,6.0,6.0,6.0,4.0,5.0,6.0,70.0
2026-07-05,7.5,9.6,78,28.5,115.0,306.5,39.5,86,97,56,60.2,13.8,0.58,94.8,77,83,21:27,07:03,615.0,45.0,stressful,,1011.2,-0.5,90,0.03,11.4,77.2,6.0,6.0,5.0,6.0,5.0,6.0,7.0,70.0
2026-07-06,2.36,2.84,83,13.0,4.0,124.5,9.0,53,90,58,59.9,,-2.47,,42,52,04:06,06:57,420.0,0.0,stressful,,1009.8,-1.4,82,0.0,12.4,78.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,
2026-07-07,,,,,,,,,100,,,,-0.09,95.7,88,88,,,0.0,0.0,,,1008.9,-0.9,86,0.03,11.9,79.0,,,,,,,,
